"","Username","Category","Real_name","Real_Name","ideology","followers_count"
"1","10TV","Media","10TV.com","10TV.com","L",27892
"2","AAN","Advocacy","American Action Network","AAN","L",2131
"3","AARP","Org","Official AARP Tweets","Official AARP Tweets","C",53777
"4","abc7newsBayArea","Media","abc7newsBayArea","ABC7 News","L",55529
"5","ACLU","Org","ACLU National","ACLU National","C",148076
"6","adamhousley","","Adam Housley","Adam Housley","C",28314
"7","AEI","Org","AEI","AEI","C",22051
"8","AFPhq","Advocacy","AFP","AFP","C",30685
"9","AGOWA","","WA Attorney General","WA Attorney General","L",6189
"10","AHMalcolm","","Andrew Malcolm","Andrew Malcolm","L",86390
"11","AlanColmes","""Journalist""","Alan Colmes","Alan Colmes","L",30149
"12","AllenWest","","Allen West","Allen West","C",43146
"13","AMAnet","","American Management","American Management","C",110790
"14","amyklobuchar","","Amy Klobuchar","Amy Klobuchar","L",6682
"15","AnandWrites","Celeb","Anand Giridharadas","Anand Giridharadas","C",9558
"16","andersonlive","Media","Anderson Live","Anderson Live","L",108683
"17","andylevy","","Andy Levy","Andy Levy","C",105380
"18","AnitaMarks","","AnitaMarks","AnitaMarks","L",11052
"19","AnthonyGemma","","Anthony Gemma","Anthony Gemma","L",980849
"20","ariannahuff","Celeb","Arianna Huffington","Arianna Huffington","L",949452
"21","AriMelber","","Ari Melber","Ari Melber","L",33770
"22","arthurbrooks","Advocacy","Arthur Brooks","Arthur Brooks","C",12169
"23","askgeorge","Politician","Rep.George Miller","Rep.George Miller","L",7456
"24","AustinScottGA08","","Rep. Austin Scott","Rep. Austin Scott","C",2604
"25","AWMooneyCNN","","Alexander Mooney/CNN","Alexander Mooney/CNN","L",9004
"26","BarackObama","Politician","President Barack Obama","Barack Obama","L",21841394
"27","BashirLive","Journalist","Martin Bashir","Martin Bashir","C",24900
"28","BCBSNebraska","","Nebraska Blue","Nebraska Blue","L",2582
"29","benandjerrys","Company","Ben & Jerry's","Ben & Jerry's","L",77739
"30","BenLaBolt","","Ben LaBolt","Ben LaBolt","C",27634
"31","billburton716","""Politician""","Bill Burton","Bill Burton","C",13125
"32","BillyHallowell","Journalist","Billy Hallowell","Billy Hallowell","C",62439
"33","BizRoundtable","","Business Roundtable","Business Roundtable","C",11736
"34","boblatta","Politician","U.S. Rep. Bob Latta","U.S. Rep. Bob Latta","C",9872
"35","bobmcdonnell","","Bob McDonnell","Bob McDonnell","C",22925
"36","BoldNebraska","","Bold Nebraska","Bold Nebraska","L",1190
"37","BoldProgressive","Advocacy","Progressive Change Campaign Committee","BoldProgressives.org","L",25400
"38","BorowitzReport","Media","Andy Borowitz","Andy Borowitz","L",385330
"39","BoyGeorge","Celeb","boygeorge","boygeorge","C",231587
"40","BretBaier","Journalist","Bret Baier","Bret Baier","C",147761
"41","brianstelter","","Brian Stelter","Brian Stelter","C",131029
"42","BrightTALK","","BrightTALK","BrightTALK","L",9051
"43","BrookeBCNN","Journalist","Brooke Baldwin","Brooke Baldwin","L",80970
"44","BruceBraley","","Bruce Braley","Bruce Braley","L",14414
"45","BrunnerForMO","","John Brunner","John Brunner","C",2644
"46","BuckMcKeon","Politician","Rep. Buck McKeon","Buck McKeon","C",8428
"47","BuddyRoemer","Governor","Gov. Buddy Roemer","Gov. Buddy Roemer","C",25478
"48","BuzzFeedBen","Media","Ben Smith","Ben Smith","L",110863
"49","Caissie","","Caissie St.Onge","Caissie St.Onge","C",16458
"50","CarolynBMaloney","Politician","Carolyn B. Maloney","Carolyn B. Maloney","C",5179
"51","cathymcmorris","Politician","CathyMcMorrisRodgers","CathyMcMorrisRodgers","C",12004
"52","CatoInstitute","Org","Cato Institute","Cato Institute","C",146547
"53","CATPOWER","Celeb","chan marshall","chan marshall","L",18229
"54","cbrangel","Politician","Charles Rangel","Charles Rangel","C",11601
"55","CBSi","","CBS Interactive","CBS Interactive","L",17135
"56","centromatic","","Centro-matic","Centro-matic","L",3449
"57","CFR_org","Org","CFR","CFR","L",46071
"58","charleymooreesq","","Charley Moore","Charley Moore","C",1526
"59","CharlieBassNH","","Charlie","Charlie","L",1393
"60","Chillie_Mo","Celeb","Chillie Mo (C. MO)","Chillie Mo (C. MO)","C",128548
"61","ChrisCoons","","Senator Chris Coons","Senator Chris Coons","C",7797
"62","ChrisVanHollen","","Chris Van Hollen","Chris Van Hollen","C",8771
"63","ChuckGrassley","","ChuckGrassley","ChuckGrassley","C",46146
"64","ChuckSchumer","","Chuck Schumer","Chuck Schumer","C",32944
"65","CIRonline","","CIR","CIR","L",5958
"66","Citizens_United","Advocacy","Citizens United","Citizens United","C",9705
"67","civilrightsorg","Advocacy","The Leadership Conference on Civil and Human Rights","Civil Rights","C",5376
"68","ckanal","","Craig Kanalley","Craig Kanalley","C",13739
"69","ClevelandClinic","","Cleveland Clinic","Cleveland Clinic","C",75914
"70","Clyburn","","James E. Clyburn","James E. Clyburn","L",11249
"71","CNNbelief","Media","Belief Blog editors","Belief Blog editors","C",16889
"72","CommonCause","","CommonCause","CommonCause","C",7481
"73","CongHuelskamp","Politician","Cong. Tim Huelskamp","Cong. Tim Huelskamp","C",2815
"74","CongJeffMiller","","Jeff Miller","Jeff Miller","C",3139
"75","CongressmanGT","","Glenn 'GT' Thompson","Glenn 'GT' Thompson","C",5501
"76","congressorg","Organization","Congress.org","Congress.org","L",21452
"77","ConnieMackIV","","Connie Mack","Connie Mack","C",26427
"78","CoryBooker","Politician","Cory Booker","Cory Booker","L",1164686
"79","CREDOMobile","","CREDO Mobile","CREDO Mobile","L",8378
"80","CRNC","Advocacy","College Republicans","College Republicans","C",50093
"81","cspan","Media","CSPAN","CSPAN","C",231349
"82","CTmagazine","Media","Christianity Today","Christianity Today","C",58900
"83","current","Media","Current TV","Current TV","L",718873
"84","CWAUnion","","CWA","CWA","L",8885
"85","CWforA","Advocacy","Concerned Women for America","CWA LAC","C",7949
"86","daily_finance","Media","DailyFinance","DailyFinance","L",30697
"87","dailyrundown","","The Daily Rundown","The Daily Rundown","L",13798
"88","danielshea","Journalist","Danny Shea","Danny Shea","C",3383
"89","Daroff","","William Daroff","William Daroff","L",21150
"90","DarrellIssa","Politician","Darrell Issa","Darrell Issa","C",63839
"91","davereichert","","Dave Reichert","Dave Reichert","L",6315
"92","daveweigel","Journalist","daveweigel","daveweigel","L",89120
"93","David_Stringer","","David Stringer","David Stringer","L",6015
"94","DavidChalian","","David Chalian","David Chalian","C",9561
"95","DavidCornDC","","David Corn","David Corn","L",90247
"96","davidgregory","Journalist","David Gregory","David Gregory","L",1538731
"97","DavidVitter","Politician","David Vitter","David Vitter","C",16399
"98","dbongino","Politician","Dan Bongino","Dan Bongino","C",5449
"99","dccc","Politicians","Democratic Congressional Campaign Committee","DCCC","L",87391
"100","DeanHeller","","Dean Heller","Dean Heller","C",6851
"101","DemGovs","","DGA","DGA","L",13647
"102","DemsAbroad","","Democrats Abroad","Democrats Abroad","C",3145
"103","DennyRehberg","","Denny Rehberg","Denny Rehberg","C",6178
"104","DevinNunes","Politician","Devin Nunes","Devin Nunes","C",1808
"105","dicklugar","Politician","Senator Dick Lugar","Senator Dick Lugar","L",4375
"106","DirectRelief","Advocacy","Direct Relief","Direct Relief ","C",10047
"107","donnabrazile","Politician","Donna Brazile","Donna Brazile","C",283600
"108","dooce","Blog","Heather B. Armstrong","Heather B. Armstrong","C",1554107
"109","dscc","Politicians","Democratic Senatorial Congressional Committee","DSCC","C",24781
"110","DWStweets","Politician","D Wasserman Schultz","D Wasserman Schultz","C",145922
"111","edshow","Pundit","Ed Schultz","Ed Schultz","L",113815
"112","edstetzer","","Ed Stetzer","Ed Stetzer","C",60718
"113","edvotes","Advocacy","Education Votes","Education Votes","L",16893
"114","ehasselbeck","Celeb","elisabeth hasselbeck","elisabeth hasselbeck","C",283300
"115","eldiariony","","El Diario La Prensa","El Diario La Prensa ","C",11104
"116","ElizabethEmken","Politician","Elizabeth Emken","Elizabeth Emken","L",10249
"117","elizabethforma","Politician","Elizabeth Warren","Elizabeth Warren","C",27041
"118","emilyslist","Advocacy","EMILY's List","EMILY's List","L",24382
"119","Emken2012","","Elizabeth Emken","Elizabeth Emken","C",671
"120","EnergyTomorrow","","EnergyTomorrow","EnergyTomorrow","C",10681
"121","EricCantor","Politicians","Eric Cantor","Eric Cantor","C",72462
"122","ErrolCNN","","Errol Barnett","Errol Barnett","L",17368
"123","EW","Media","Entertainment Weekly","Entertainment Weekly","L",2115670
"124","EWErickson","Blogger","Erick Erickson","Erick Erickson","C",69132
"125","ezraklein","Blogger","Ezra Klein","Ezra Klein","L",249829
"126","farenthold","Politician","Blake Farenthold","Blake Farenthold","C",3796
"127","Fidelity","","Fidelity Investments","Fidelity Investments","L",49805
"128","FinancialCmte","","Financial Services","Financial Services","C",6388
"129","FLGovScott","","Rick Scott","Rick Scott","C",25363
"130","ForAmerica","Advocacy","ForAmerica","ForAmerica","C",17838
"131","fredthompson","","Fred Thompson","Fred Thompson","C",114853
"132","FreedomWorks","Advocacy","FreedomWorks","FreedomWorks","C",79967
"133","frontlinepbs","Media","FRONTLINE","FRONTLINE","C",40743
"134","GavinNewsom","Politician","Gavin Newsom","Gavin Newsom","C",1274726
"135","GEpublicaffairs","Company","GE Public Affairs","GE Public Affairs","L",3288
"136","gimmemotalk","Celeb","Monique Coleman","Monique Coleman","C",468983
"137","glaad","Advocacy","GLAAD","GLAAD","L",129844
"138","glennbeck","Celeb","Glenn Beck","Glenn Beck","C",495124
"139","GoodwillIntl","","Goodwill Industries","Goodwill Industries ","L",11941
"140","GOP","Politicay Party","Republican National Committee","RNC","C",181158
"141","gopconference","","GOP Conference","GOP Conference","C",36725
"142","GOPLeader","Politicians","Kevin McCarthy","Eric Cantor","C",88219
"143","GOPoversight","Politicians","GOP Oversight","GOP Oversight","C",10821
"144","GOPWhip","Politicians","Steve Scalise","Kevin McCarthy","C",22684
"145","GovChristie","Politician","Governor Christie","Governor Christie","C",122770
"146","GovernorOMalley","Politician","Martin O'Malley","Martin O'Malley","C",20260
"147","GovernorPerry","Politician","Rick Perry","Rick Perry","C",141006
"148","GovMikeHuckabee","Politician","Gov. Mike Huckabee","Gov. Mike Huckabee","C",244048
"149","GovWin","","GovWin","GovWin","C",4484
"150","GregBehrendt","Celebrities","Greg Behrendt","Greg Behrendt","L",17040
"151","GreggHarper","","Gregg Harper","Gregg Harper","C",6885
"152","gretawire","Journalist","Greta Van Susteren","Greta Van Susteren","L",249125
"153","GroverNorquist","""Politician""","Grover Norquist","Grover Norquist","C",33442
"154","GStephanopoulos","Journalist","George Stephanopoulos","GeorgeStephanopoulos","L",1764404
"155","GuardianUS","Media","GuardianUS","GuardianUS","C",34707
"156","GuyKawasaki","","Guy Kawasaki","Guy Kawasaki","C",1185708
"157","HappeningNow","","Happening Now","Happening Now","C",9082
"158","harto","Celeb","Hannah Hart","Hannah Hart","C",117106
"159","Harvard","Org","Harvard University","Harvard University","L",129911
"160","HawaiiRedCross","","HawaiiRedCross","HawaiiRedCross","L",10923
"161","healthfinder","Federal Agency","healthfinder.gov","healthfinder.gov","L",175913
"162","HerbertForUtah","","Gary R. Herbert","Gary R. Herbert","C",2921
"163","Heritage","Org","Heritage Foundation","Heritage Foundation","C",236501
"164","hilaryr","","Hilary Rosen","Hilary Rosen","C",40992
"165","HispanicCaucus","Politicians","Congressional Hispanic Caucus","Official CHC- 112th","L",6628
"166","HollandTaylor","Celeb","Holland Taylor","Holland Taylor","C",18875
"167","HotlineReid","","Reid Wilson","Reid Wilson","L",19433
"168","HouseBudgetDems","","HouseBudgetDems","HouseBudgetDems","C",2808
"169","HouseCommerce","Poltiicians","Energy and Commerce","Energy and Commerce","C",8585
"170","HouseDemocrats","Politicians","House Democrats","House Democrats","L",29221
"171","HowardCoble","","Howard Coble","Howard Coble","C",1369
"172","HowardKurtz","","HowardKurtz","HowardKurtz","C",111927
"173","HRBlock","","H&R Block","H&R Block","L",12599
"174","HRC","Advocacy","HumanRightsCampaign","HumanRightsCampaign","L",131143
"175","HuffingtonPost","Media","Huffington Post","Huffington Post","L",2248949
"176","HuffPostPol","Media","HuffPost Politics","HuffPost Politics","C",242342
"177","insideview","Company","InsideView","InsideView","L",12640
"178","IntelFreePress","","IntelFreePress","IntelFreePress","L",1853
"179","IVNetwork","","Independent Voter","Independent Voter","L",3670
"180","iWatch","Media","iWatch News","iWatch News","C",15064
"181","jahimes","Politician","Rep. Jim Himes","Jim Himes","L",6616
"182","janschakowsky","Politician","Jan Schakowsky","Jan Schakowsky","C",7130
"183","Jason","","jason","jason","C",154255
"184","JayInslee","","JayInslee","JayInslee","L",3855
"185","jdickerson","Journalist","John Dickerson","John Dickerson","L",1376725
"186","JenGranholm","Politician","Gov. Jennifer Granholm","Jennifer Granholm","L",30106
"187","jenniferhutt","","jennifer hutt","jennifer hutt","C",15055
"188","jeremybird","","Jeremy Bird","Jeremy Bird","C",14812
"189","JerryMoran","","Jerry Moran","Jerry Moran","L",5962
"190","jgolnik","","Jon Golnik","Jon Golnik","C",1326
"191","JimDeMint","","Jim DeMint","Jim DeMint","L",142117
"192","JNJComm","","Johnson & Johnson","Johnson & Johnson","L",22990
"193","joanwalsh","Blogger","Joan Walsh","Joan Walsh","L",69836
"194","JoeNBC","Celeb","Joe Scarborough","Joe Scarborough","C",162513
"195","JoeSestak","","Joe Sestak","Joe Sestak","C",6987
"196","john_dingell","","John Dingell","John Dingell","C",4920
"197","johnboehner","Politician","John Boehner","John Boehner","C",204784
"198","JohnCarneyDE","","Rep. John Carney","Rep. John Carney","L",2897
"199","JohnCornyn","Poltiician","Senator John Cornyn","JohnCornyn","C",28399
"200","johnculberson","Politician","John Culberson","johnculberson","C",15942
"201","JohnFugelsang","Celeb","John Fugelsang","John Fugelsang","L",73640
"202","JohnKingCNN","Journalist","John King","John King","C",110762
"203","johnlegend","Celeb","John Legend","John Legend","C",3998348
"204","JonahNRO","Advocacy","Jonah Goldberg","Jonah Goldberg","C",67404
"205","JonBruning","","Jon Bruning","Jon Bruning","C",1864
"206","JonCarson44","","Jon Carson","Jon Carson","L",7136
"207","jontester","","Jon Tester","Jon Tester","L",4058
"208","joshtpm","Journalist","Josh Marshall","Josh Marshall","L",63174
"209","joshuadubois","Advocacy","Joshua DuBouis","joshuadubois","C",12165
"210","JudgeCarter","","JudgeCarter","JudgeCarter","C",7171
"211","Judgenap","""Journalist""","Judge Napolitano","Judge Napolitano ","C",106269
"212","JudgeTedPoe","","Ted Poe","Ted Poe","C",6448
"213","JudyWoodruff","","Judy Woodruff","Judy Woodruff","L",6997
"214","JulieBanderas","","Julie Banderas","Julie Banderas","C",30358
"215","justiacom","","justiacom","justiacom","C",11463
"216","kanter","Advocacy","Beth Kanter","Beth Kanter","C",403635
"217","KarenElsonMusic","Celeb","Karen Elson","Karen Elson","C",11296
"218","KarlRove","""Politician""","Karl Rove","Karl Rove","C",351922
"219","KatrinaNation","Celeb","Katrina VandenHeuvel","Katrina vandenHeuvel","L",59564
"220","kaybaileyhutch","Politician","Kay Bailey Hutchison","Kay Bailey Hutchison","C",11934
"221","KeithOlbermann","Celeb","Keith Olbermann","Keith Olbermann","C",383038
"222","kerpen","""Politician""","Phil Kerpen","Phil Kerpen","L",9615
"223","kevinomccarthy","","Kevin McCarthy","Kevin McCarthy","C",16772
"224","KFIAM640","","KFI AM 640","KFI AM 640","L",15627
"225","KirkWhalum","","Kirk Whalum","Kirk Whalum","L",21675
"226","kirstenpowers10","Pundit","kirsten powers","kirsten powers","C",28897
"227","KPCC","Media","89.3 KPCC","89.3 KPCC","L",17049
"228","KyleTurley","","Kyle Turley","Kyle Turley","L",4742
"229","LambdaLegal","Advocacy","Lambda Legal","Lambda Legal","L",34726
"230","LasVegasSun","Media","LasVegasSun","LasVegasSun","L",24080
"231","lasvegasweekly","","lasvegasweekly","lasvegasweekly","L",26919
"232","latimes","Media","Los Angeles Times","Los Angeles Times","L",384146
"233","latimesmuskal","Journalist","Michael Muskal LAT","Michael Muskal LAT","L",3083
"234","ledisi","Celeb","ledisi","ledisi","L",120532
"235","LEETERRYNE","","LEETERRYNE","LEETERRYNE","L",4970
"236","LeslieSanchez","Pundit","Leslie Sanchez","Leslie Sanchez","C",9888
"237","lfmccullough","Journalist","Lauren McCullough","Lauren McCullough","C",5119
"238","lfrusa","","Let Freedom Ring USA","Let Freedom Ring USA","C",4831
"239","Linda_McMahon","","Linda McMahon","Linda McMahon","C",35438
"240","lingle2012","","Linda Lingle","Linda Lingle","C",1814
"241","LIVESTRONG","Media","LIVESTRONG","LIVESTRONG","C",412269
"242","LorettaSanchez","","Loretta Sanchez","Loretta Sanchez","L",4198
"243","LugarHQ","","Lugar 2012 HQ","Lugar 2012 HQ","L",875
"244","LugarPress","","Lugar Press","Lugar Press","C",989
"245","maddow","Media","Rachel Maddow MSNBC","Rachel Maddow MSNBC","L",2142227
"246","malloryfactor","","Mallory Factor","Mallory Factor","C",903
"247","marciafudge","Politician","Rep. Marcia L. Fudge","Marcia L. Fudge","L",4391
"248","MarkHalperin","","Mark Halperin","Mark Halperin","L",39439
"249","markknoller","","Mark Knoller","Mark Knoller","C",112449
"250","markos","Journalist","Markos Moulitsas","Markos Moulitsas","L",85033
"251","MarkWarner","","Mark Warner","Mark Warner","C",26950
"252","MarshaBlackburn","","Marsha Blackburn","Marsha Blackburn","C",5818
"253","MaryBonoMack","Politician","Rep. Mary Bono Mack","Rep. Mary Bono Mack","C",8710
"254","MassGovernor","Politician","Deval Patrick","Deval Patrick","C",30200
"255","MattBlunt","Politician","Gov. Matt Blunt","Matt Blunt","C",3981
"256","mayortommenino","","Mayor Tom Menino","Mayor Tom Menino","C",14932
"257","maziehirono","Politician","Senator Mazie Hirono","Mazie Hirono","L",4261
"258","MCHammer","Celeb","MC HAMMER","MC HAMMER","C",2766359
"259","megynkelly","Journalist","Megyn Kelly","Megyn Kelly","C",150341
"260","Menendez4NJ","Politician","Bob Menendez","Bob Menendez","C",9499
"261","MiaFarrow","Celeb","mia farrow","mia farrow","C",70975
"262","MiamiHerald","Media","The Miami Herald","The Miami Herald","L",78097
"263","michaelpfalcone","","Michael Falcone","Michael Falcone","L",15470
"264","michele_norris","Journalist","Michele Norris","Michele Norris","C",12625
"265","MicheleBachmann","Politician","MicheleBachmann","Michele Bachmann","C",158892
"266","michellemalkin","Blogger","Michelle Malkin","Michelle Malkin","C",445889
"267","MittRomney","Politician","Mitt Romney","Mitt Romney","C",610997
"268","mmfa","","Media Matters","Media Matters","L",81519
"269","MMStewartCNN","Journalist","Martina Stewart","Martina Stewart","C",6093
"270","MONEY","Media","Money Magazine","Money Magazine","L",38222
"271","MonsterWW","","MonsterWW","MonsterWW","L",14421
"272","morgfair","Celeb","Morgan Fairchild","Morgan Fairchild","L",16679
"273","morningmoneyben","","Ben White","Ben White","L",10869
"274","MoRocca","Journalist","Mo Rocca","Mo Rocca","C",420085
"275","MoveOn","Advocacy","MoveOn.org","MoveOn.org","L",80726
"276","msftcitizenship","","MicrosoftCitizenship","MicrosoftCitizenship","L",20253
"277","MSN_Money","Media","MSN Money","MSN Money","C",42023
"278","MufiHannemann","Politician","Mufi Hannemann","Mufi Hannemann","C",535201
"279","NancyPelosi","Politician","Nancy Pelosi","Nancy Pelosi","L",197162
"280","NancySinatra","Celeb","Nancy Sinatra","Nancy Sinatra","L",49088
"281","nanettelepore","Celeb","Nanette Lepore","Nanette Lepore","C",26144
"282","NatResources","","Natural Resources","Natural Resources","C",6008
"283","NBCLA","Media","NBC Los Angeles","NBC Los Angeles","L",47571
"284","NBCNews","Media","NBC News","NBC News","L",390228
"285","nbcsandiego","Media","NBC 7 San Diego","NBC 7 San Diego","C",21355
"286","NEAToday","","NEA Today","NEA Today","L",54471
"287","NESN","","New England Sports Network","NESN","L",79623
"288","newsbusters","Media","NewsBusters","NewsBusters","L",39271
"289","NewsHour","Media","NewsHour","NewsHour","L",320966
"290","Newsweek","Media","Newsweek","Newsweek","C",1792581
"291","newtgingrich","Politician","Newt Gingrich","Newt Gingrich","C",1462770
"292","NewYorkPost","Media","New York Post","New York Post","L",285537
"293","NFIB","Org","National Federation of Independent Business","NFIB","C",26181
"294","NickKristof","Journalist","Nicholas Kristof","Nicholas Kristof","C",1332645
"295","nikiinthehouse","","Niki Tsongas","Niki Tsongas","C",2515
"296","NIOSH","Federal Agency","The National Institute for Occupational Safety and Health","Safe Healthy Workers","C",170992
"297","NoLabelsOrg","Org","No Labels","No Labels","C",24123
"298","NorahODonnell","Journalist","Norah O'Donnell","Norah O'Donnell","L",55889
